review,sentiment,clean_review
"udah ga jelas bett tiba"" akun di tangguhkan, pdhl cmn scrol"" doang udh hbis brp akun nih",negatif,udah ga bett akun tangguh pdhl cmn scrol doang udh hbis brp akun nih
kurang netral,negatif,netral
mantappp,positif,mantappp
"sangat bagus dengan ada grok 🫶, ini sangat membantu dalam semua hal",positif,bagus grok  bantu
mantaaap bagus,positif,mantaaap bagus
"kok saya tidak bisa membuat akun baru? dan juga kenapa saya tidak bisa mengganti tanggal, bulan, dan tahun lahir saya, pas saya mau ngapus tanggal lahir juga tidak bisa. mohon diperbaiki",negatif,akun ganti tanggal lahir pas ngapus tanggal lahir mohon baik
"Kenapa harus premium dulu baru bisa masukin teks yg panjang, banyak fitur yg gk kepakai juga. terus kenapa sekarang sering banget sih keluar sendiri akun nya 😠😠",negatif,premium masukin teks yg fitur yg gk pakai banget sih akun nya 
"4 kali bikin akun di tangguhin mulu,padahal gak pernah ngelakuin pelanggaran,di twit cmn liat meme doang padahal,malah di tangguhin mulu, giliran mau bikin akun lagi susah nya minta ampun, gmna ini",negatif,kali bikin akun tangguhin mulupadahal gak ngelakuin pelanggarandi twit cmn liat meme doang padahalmalah tangguhin mulu gilir bikin akun susah nya ampun gmna
bergaul dengan siapa saja,positif,gaul
"Sistem keamanan baru jadi makin susah loginnya kalo lupa nama akun, hadeh",negatif,sistem aman susah loginnya kalo lupa nama akun hadeh
good app,positif,good app
Bagus,positif,bagus
moga bisa membantu,positif,moga bantu
Mantap Top,positif,mantap top
"banyak bgt bug dan gabisa ganti profil, padahal udah save tapi malah balik ke profil yg lama",negatif,bgt bug gabisa ganti profil udah save profil yg
ok,positif,ok
sangat berguna untuk mengetahui perkembangan dunia,positif,guna kembang dunia
"ada bug, bug nya pas lagi asik scroll tiba-tiba ke riset sendiri. tolong di perbaiki 😡 !!!",negatif,bug bug nya pas asik scroll tibatiba riset tolong baik 
ok banget,positif,ok banget
good,positif,good
Biasa buat hiburan,netral,hibur
sebel sekarang x jadi sering eror,positif,sebel x eror
apk gj,negatif,apk gj
ada video bkp nya jir,negatif,video bkp nya jir
sering login ulang mohon diperbaiki,positif,login ulang mohon baik
"keren banget, bintang 5. bisa buat memuaskan nafsu tenaga dalam, sehingga crot nya brutal dan ambatukam. Setelah itu sudah di akui para ilmuan ahli seperti, prof. azril, prof. rusdi, prof. rehan. inti dari ulasan ini adalah keren banget lah njir.",positif,keren banget bintang muas nafsu tenaga crot nya brutal ambatukam aku ilmu ahli prof azril prof rusdi prof rehan inti ulas keren banget njir
sangat membantu saya,positif,bantu
GK bisa bikin akun,negatif,gk bikin akun
Mantap,positif,mantap
lah orng lemot bgt gatau ya rewel begitu kga kaya twit dulu,negatif,orng lot bgt gatau ya rewel kga kaya twit
"Tiba2 akun dibekukan, padahal udh ga dibuka selama 3 bulan.",negatif,akun beku udh ga buka
lemot bgt skrg gatau kenapa malah memuat terus lamaaa pol jd males bukanya,negatif,lot bgt skrg gatau muat lamaaa pol jd males buka
buruk,negatif,buruk
"menurut aku ini memang ya loginn nya kek ""ada kesalahan memuat"" padahal jaringan nya baik kok sama mau login akunnya malah Ndak bisa",netral,ya loginn nya kek salah muat jaring nya login akun ndak
"sering ngelag kadang gabisa ngelike, kadang gabisa komen, gadang load nya lama padahal wifi nya lancar aja kalo di buka sosmed lain",netral,ngelag kadang gabisa ngelike kadang gabisa komen gadang load nya wifi nya lancar aja kalo buka sosmed
kelock aja enggak bisa masuk sudah 2 hari nggk bisa,negatif,kelock aja masuk nggk
satu dulu klo bagus tmbah lgi bintang nya,negatif,klo bagus tmbah lgi bintang nya
like,positif,like
update terus tapi gaada perubahan,negatif,update gaada ubah
"Jelek bangetttt. Dm suka crash sendiri, akun kadang kena blokir padahal yg ngeblokir gak ngapa²in, dm cepet hilang chatnya, timeline kerefresh sendiri. Ngeselin deh",negatif,jelek bangetttt dm suka crash akun kadang kena blokir yg ngeblokir gak ngapa in dm cepet hilang chatnya timeline kerefresh ngeselin deh
"aplikasi X sering minta update, tapi hasilnya makin burik aja, notifikasi gak muncul, ngirim video selalu gagal. parah, cuma pinter nyedotin kuota doang.",negatif,aplikasi x update hasil burik aja notifikasi gak muncul ngirim video gagal parah pinter nyedotin kuota doang
semenjak jadi X aku sangat suka menggunakan media ini,positif,semenjak x suka media
good,positif,good
"aplikasi gk jelas, akun di ban gegara di tag ama bot, udh hpus ban malah jadi kagak bisa bookmark lagi coba report ke cs ny percuma, lewat dm admin harus premium 🤮",negatif,aplikasi gk akun ban gegara tag ama bot udh hpus ban kagak bookmark coba report cs ny dm admin premium 
"makin lama makin jelek aja nih aplikasi, suka tbtb ke logout sendiri. aneh, padahal lagi enak enak scroll tl.",negatif,jelek aja nih aplikasi suka tbtb logout aneh enak enak scroll tl
"gwe yang cuma nggak login beberapa bulan dan nggak ngapa-ngapain malah ditangguhkan, gwe harus gimana?! nih akun user gwe....AkunCoc91419",negatif,gwe nggak login nggak ngapangapain tangguh gwe gimana nih akun user gweakuncoc
sistem keamanannya terlalu berlebihan,negatif,sistem aman
sangat bagus info yg disampaikan,positif,bagus info yg
Good app.,positif,good app
mau login akun susah di bikin ribet,negatif,login akun susah bikin ribet
Sering error dan banyak masalah seperti tidak bisa refresh homepage nya mohon diperbaiki,negatif,error refresh homepage nya mohon baik
ok sih,netral,ok sih
ok,positif,ok
ok,positif,ok
"jujur, sebenarny ini apk bagus, cmn kenapa stiap login sya kluar dri akun trs??, pdhal g pernah aneh"", kek, tlong lah jan kek gni, masa kluar dri akun trs, tlong dong ini apk diperbaiki, masa sya kluar trs dari akun stiap buka apk ini, tlonggg yaa di perbaiki lagi, sya suda capek,berkali""saya login ke akun saya, TOLONG YAA INI APK DI PERBAIKI, JUJUR SAYA SUDAH CAPEE LOGIN MLUU😔😞😪",negatif,jujur sebenarny apk bagus cmn stiap login sya kluar dri akun trs pdhal g aneh kek tlong jan kek gni kluar dri akun trs tlong apk baik sya kluar trs akun stiap buka apk tlonggg yaa baik sya suda capekberkalisaya login akun tolong yaa apk baik jujur capee login mluu
gak ok,positif,gak ok
"menghibur, beradab dan berilmu.",positif,hibur adab beril
bagus poll,positif,bagus poll
tidak bisa login,negatif,login
bagus,positif,bagus
suka eror,netral,suka eror
baik dan bagus,positif,bagus
"lama bgt kocak nginstalnya, pdhl jaringan bagus #salambackburner🔥",netral,bgt kocak nginstalnya pdhl jaring bagus salambackburner
sangat burukkkk krna sering pembaruan dan eror coba di perbaiki 🙏,negatif,burukkkk krna baru eror coba baik 
"tambah parah sejak jadi X , lagi enak baca timeline sering ke scroll sendiri, aneh, dulu masih Twitter jarang sekali error sekarang makin payah, gak ada perbaikan sama sekali",negatif,parah x enak baca timeline scroll aneh twitter jarang error payah gak baik
bagus,positif,bagus
good,positif,good
nice,positif,nice
lumayan,positif,lumayan
top markotop,positif,top markotop
twitter sudah mulai jelek,negatif,twitter jelek
"apk gak jelas tiba"" akun di tangguhkan padahal gak pernah posting yang aneh""",negatif,apk gak akun tangguh gak posting aneh
"Saya suka X sebagai tempat berbagi ide dan diskusi, tapi akhir-akhir ini banyak akun yang komentar asal-asalan kayak cuma ngejar engagement atau impresi. Mungkin tim X bisa pertimbangkan untuk fokus monetisasi ke konten video berdasarkan jumlah penonton aja, tanpa harus bikin orang tergoda spam di kolom komentar demi naikin views.",positif,suka x bagi ide diskusi akhirakhir akun komentar asalasalan kayak ngejar engagement impresi tim x timbang fokus monetisasi konten video dasar tonton aja bikin orang goda spam kolom komentar naikin views
Tidak bisa di install,negatif,install
pekerja keras,negatif,kerja keras
good apk,positif,good apk
"Makin kesini aplikasi ini makin buruk, susah dibuka,,",negatif,kesini aplikasi buruk susah buka
aplikasi lu jelek,negatif,aplikasi lu jelek
"terkadang ketika sudah beberapa menit di dalam apk, pada saat refresh dilakukan berulang kali, gambar atau postingan yang muncul hanya itu itu saja terus menerus. yang baru hanya bertambah 2-5 postinga",positif,terkadang menit apk refresh ulang kali gambar postingan muncul terus tambah postinga
aplikasi jelekk bgtt mau login trs pas masukin kode verifikasi udah bener dari email nya malah katanya salah² teruss udah sampe login 4x males udah,negatif,aplikasi jelekk bgtt login trs pas masukin kode verifikasi udah bener email nya salah teruss udah sampe login x males udah
stlh update ni apk mlh tmbh rusak beranda ga mau restart konten terbaru hrs keluar dari apk dulu trs balik lagi pdhl dulu sblm di update g ky gini trs 1 bln terakhir ini sering lag dan ga bisa nerjemahin postingan yg sdg kita lihat tlg mslh sprti ini segera diperbaiki buat ga nyaman menggunakan aplikasi soalnya 🙏,negatif,stlh update ni apk mlh tmbh rusak beranda ga restart konten baru hrs apk trs pdhl sblm update g ky gin trs bln lag ga nerjemahin postingan yg sdg lihat tlg mslh sprti baik ga nyaman aplikasi 
lemot banget woy mau search aja kaga bisa loading mulu..,negatif,lot banget woy search aja kaga loading mulu
bagus,positif,bagus
kenapa akun saya di tangguhkan....padahal saya tidak melakukan kekerasan dan mengejar kebencian,negatif,akun tangguhkanpadahal keras kejar benci
"laggyy, gross apk 🤮🤮",negatif,laggyy gross apk 
bagus,positif,bagus
kenapa banyak konten yg dihapus,negatif,konten yg hapus
"hahahah, hayooo siapa yang nonton pekop di sini 😂😁",positif,hahahah hayooo nonton kop 
Sering buffering pdhl kuota normal,negatif,buffering pdhl kuota normal
bagus aja gitu,positif,bagus aja gitu
suka,positif,suka
top,positif,top
"Terlalu ketat, Dikit dikit ke suspend hadehhhh",negatif,ketat dikit dikit suspend hadehhhh
"saya gak habis pikir,akun di tangguhkan.seingat saya,,, bahwa saya tidak pernah melanggar apapun... agak kecewa saja.. karena ada pembatasan.",positif,gak habis pikirakun tangguhkanseingat langgar apa kecewa batas
bagussss untuk tempat curhat,positif,bagussss curhat
lumayan,positif,lumayan
bagus,positif,bagus
Kalau login ke akun susah kenapa ya,negatif,login akun susah ya
3 kali akun gue di tangguhkan..,negatif,kali akun gue tangguh
Alhamdulillah Selalu semangat bg ❤️👍,positif,alhamdulillah semangat bg 
Kurang Bagus,positif,bagus
semangat untuk loading trus,positif,semangat loading trus
memberi inspirasi dan menambah edukasi,positif,inspirasi tambah edukasi
grok nya gitch tolong perbaikinya,negatif,grok nya gitch tolong baik
sejujurnya udah bagus cuma kenapa suruh login lagi padahal udah jadi gak bisa masuk lagi,positif,jujur udah bagus suruh login udah gak masuk
"Tolong dong x ini knp ya first acc suka tbtb ke log out sendiri, sekarang udh di login-in lagi malah tulisan di timeline nya 'ada kesalahan teknis, ini bukan kesalahan anda' klik pusat bantuan juga keluarnya tulisan 'error code'",negatif,tolong x knp ya first acc suka tbtb log out udh loginin tulis timeline nya salah teknis salah klik pusat bantu keluar tulis error code
ketika saya memakai aplikasi ini saya ingin mencari akun teman saya tapi kenapa akun saya di band,negatif,pakai aplikasi cari akun teman akun band
sangat buruk,negatif,buruk
"jelek banget, gak bisa daftar l",negatif,jelek banget gak daftar l
menarik,positif,tarik
good ye,positif,good ye
aplikasi tdk guna sush,negatif,aplikasi tdk sush
mantap,positif,mantap
bagus bnyak bahan video yg mantao mantao🤤🤤,positif,bagus bnyak bahan video yg mantao mantao
sering error loogout sendiri,positif,error loogout
bagus..terus di kembangkan,positif,bagusterus kembang
smart app,positif,smart app
oke,positif,oke
Semangat,positif,semangat
Bagus jugaa,positif,bagus jugaa
bagus,positif,bagus
Kok akun x saya ga bisa di login,positif,akun x ga login
"aplikasi makin payah, terlalu sensitif semenjak di pegang babang melon",negatif,aplikasi payah sensitif semenjak pegang babang melon
"tinggal masuk aja di persulit ini orang apa bukan ,pastinya orang masa siluman maini internet",negatif,tinggal masuk aja sulit orang pasti orang siluman main internet
Sangat membantu sekali,positif,bantu
perbaikan koneksi nya npa,negatif,baik koneksi nya npa
"Jangan di download aplikasi ini. Gabisa login terus, selalu muter"" kyk ga ada jaringan padahal kenceng bgt, refresh pun ga bisa, aplikasi sampah, gajelas lu Elon Musk, bukannya makin gacor malah gabisa di buka ni aplikasi",negatif,download aplikasi gabisa login muter kyk ga jaring kenceng bgt refresh ga aplikasi sampah gajelas lu elon musk gacor gabisa buka ni aplikasi
Tolong pulihkan akun saya,positif,tolong pulih akun
"Aplikasi sejak dipegang jadi busuk. Udahlah berbayar semua, sering saspen akun orqng yang diem aja.",negatif,aplikasi pegang busuk udahlah bayar saspen akun orqng diem aja
saya suka,negatif,suka
mantap,positif,mantap
okay,positif,okay
Ya bagus,positif,ya bagus
Sangat bagus,positif,bagus
sangat baikk,positif,baikk
ok,positif,ok
"gak ngapa""in tiba"" di suspend",negatif,gak ngapain suspend
apk mantap👍👍,positif,apk mantap
"Isinya orang orang kayak gak punya sopan santun ketikannya sungguh luar biasa tidak terkendali coba lah ditingkatkan atau buat aturan pelanggaran ketikan, penghuni x yg parah gak mungkin kan orang tua semua yg pkae aplikasi x ini pasti ada banyak kalangan",negatif,isi orang orang kayak gak sopan santun keti sungguh kendali coba tingkat atur langgar keti huni x yg parah gak orang tua yg pkae aplikasi x kalang
Good,positif,good
tolong kurangin iklan,positif,tolong rangin iklan
Fix auto refresh!,negatif,fix auto refresh
good pp,positif,good pp
masa akun di tangguhkn trus mengajukan banding g ada respon bisa bantu ga dev,netral,akun tangguhkn trus aju banding g respon bantu ga dev
ok,netral,ok
menginstal nya lama baget,negatif,menginstal nya baget
aplikasi yg bagus,positif,aplikasi yg bagus
"Udh pake aplikasi ini dari jaman covid 2020,aman aja, cuma skrg² koq klo buka video ada tulisan (AdBlock detected) DST, itu knp ya, ada yang sama?",negatif,udh pake aplikasi jaman covid aman aja skrg koq klo buka video tulis adblock detected dst knp ya
sekarang lemot bangat,negatif,lot bangat
"tolong di perbarui lagi aplikasinya,saat saya ingin login ke akun saya,masa ada nomor nomor gak jelas,tolong di perbarui",negatif,tolong baru aplikasinyasaat login akun sayamasa nomor nomor gak jelastolong baru
Aplikasi X makin jelek,negatif,aplikasi x jelek
baguss,netral,baguss
Kece,positif,kece
Sya sangat suka,positif,sya suka
Ini aplikasi lama2 aneh. Masa setiap follow orang malah log out sendiri??? Padahal sudah buat akun sudah instal ulang tetap aja penyakitnya gitu!,negatif,aplikasi aneh follow orang log out akun instal ulang aja sakit gitu
Tak bisa login lagi,negatif,login
oke,positif,oke
TOLOL TIBA² KELUAR SENDIRI AKUN,negatif,tolol tiba akun
Terimakasih 🤝,positif,terimakasih 
oke,positif,oke
Menarik,positif,tarik
mantap banget,positif,mantap banget
Ok mantap,positif,ok mantap
Apk non sensor mantap,positif,apk non sensor mantap
hp nya yg kentang tapi aplikasi yang disalahkan ✋😂🤚,positif,hp nya yg kentang aplikasi salah 
"Sering eror,,,tolong di perbaiki",positif,erortolong baik
"makin kesini semakin jelek, beda jauh pas masih pake nama twitter",negatif,kesini jelek beda pas pake nama twitter
mantap bisa menghibur diri,positif,mantap hibur
kenapa ini sering ditangguhkan,negatif,tangguh
percuma donlod juga gabisa bimin akun aplikasi payah,negatif,donlod gabisa bimin akun aplikasi payah
"udah lama ga buka X eh akun tiba tiba logout sendiri, pas coba login ulang malah bolak balik ke bagian login terus padahal udah bener semua",negatif,udah ga buka x eh akun logout pas coba login ulang bolak login udah bener
Mantap,positif,mantap
mantap,positif,mantap
jelek,negatif,jelek
This app is very slow and can suddenly log out accounts on its own,negatif,this app is very slow and can suddenly log out accounts on its own
Jelek leg semua,negatif,jelek leg
"bagus dengan alur cerita yg fleksible,klo perlu yg TERBARU/TERUPDATE min🙏🙏🙏",positif,bagus alur cerita yg fleksibleklo yg terbaruterupdate min
bgus,positif,bgus
"SEMENJAK BERUBAH JADI X INI APLIKASI RESE BANGET, DIKIT2 KELUAR, DIKIT2 KENA TANGGUH.",negatif,semenjak ubah x aplikasi rese banget dikit dikit kena tangguh
"disuruh ulang login terus, disuruh verifikasi doang, berulang kali udh verifikasi, masa pas enak'nya scroll tiba' disuruh login sm verifikasi padahal ga komen aneh'. ini bug apa gimana cape bolak balik",netral,suruh ulang login suruh verifikasi doang ulang kali udh verifikasi pas enak scroll suruh login sm verifikasi ga komen aneh bug gimana cape bolak
saya terkanena adbeck,netral,terkanena adbeck
Good lah,positif,good
aplikasi nya bagus banget buat liat gosip Konoha😍😍😍🥰,positif,aplikasi nya bagus banget liat gosip konoha
"Apk mantap ,,,the best",positif,apk mantap the best
aplikasi ini sangat memuaskan,netral,aplikasi muas
Sering error Sudah mulai membaik tambah 1 bintang,positif,error baik bintang
Bagus sekaliiuuuuuuuuuuusuuuu,positif,bagus sekaliiuuuuuuuuuuusuuuu
Freedom of speech 😁😁,positif,freedom of speech 
hadehh makin jelekkk,negatif,hadehh jelekkk
susah daftar udah daftar malah balik lagi ke tempat daftar nya,negatif,susah daftar udah daftar daftar nya
Bagus,positif,bagus
Ok,positif,ok
Ok,positif,ok
tiba tiba di tangguhkan padahal cman like doang...anehh,negatif,tangguh cman like doanganehh
"Akun sering log out sendiri tiba tiba, dan saat mau log in kembali tidak bisa karena terjadi kendala yang tidak jelas",negatif,akun log out log in kendala
"i hope X (Twitter) Will be better again and please don't be so sensitive, I think these day many of ACC has been suspend. hope my account don't",positif,i hope x twitter will be better again and please dont be so sensitive i think these day many of acc has been suspend hope my account dont
Membosankan,positif,bosan
"kenapa tiba-tiba ga bisa unduh foto? padahal wifi lancar aja loh, udah coba keluar aplikasi terus masuk lagi tapi tetep aja ga bisa diunduh fotonya!😭",negatif,tibatiba ga unduh foto wifi lancar aja loh udah coba aplikasi masuk tetep aja ga unduh foto
The best,positif,the best
rawan,negatif,rawan
bagus banget,positif,bagus banget
Kualitas video nya buram banget,netral,kualitas video nya buram banget
Good,positif,good
Mantap,positif,mantap
Bagus banget,positif,bagus banget
Bagus. untuk pengaruh baik dari Allah yang Maha Pengasih dan Penyayang.,positif,bagus pengaruh allah maha asih sayang
bagus banget,positif,bagus banget
"Cuihh,, gk ngerti lama"" dibuat sama apk satu ini. Mau masok ke akun sendiri aja di persulitkan",negatif,cuihh gk ngerti apk masok akun aja sulit
mantap,positif,mantap
New version update new Games Supported Mobile Device Samsung A01 Core new update New version update full voice over Storyline And System,netral,new version update new games supported mobile device samsung a core new update new version update full voice over storyline and system
Kenapa ga bisa di buka aplikasi nya,negatif,ga buka aplikasi nya
Lemot bgt gila padahal jaringan aman,negatif,lot bgt gila jaring aman
Oke,positif,oke
"seringkali akun terkunci kadang² diblokir sekarang kebanyakan aturan, lebih nyaman versi yang dulu nama twitter 🙄",negatif,seringkali akun kunci kadang blokir banyak atur nyaman versi nama twitter 
good,positif,good
Bagus dan menarik,positif,bagus tarik
kenapa sekarang malah jadi lemot padahal koneksi dan kapasitas hp masih besar.,negatif,lot koneksi kapasitas hp
mantap,positif,mantap
"Ini ada apa dengan twitter, kok gak bisa scroll postingan terbaru padahal koneksi internet baik baik aja?",positif,twitter gak scroll postingan baru koneksi internet aja
"Aplikasi huru hara apa aja ada, yang engga ada cuman kamu dihatinya :)",negatif,aplikasi huru hara aja engga cuman hati
Sumpah Akhir²ini sering kali lemot,negatif,sumpah akhir ini kali lot
login ribet,positif,login ribet
aplikasi bermasalah,negatif,aplikasi masalah
Knp Selalu kembali otomatis ke halaman awal,positif,knp otomatis halaman
LEMOT,negatif,lot
selamat,positif,selamat
sangat membantu dan menambah wawasan beritanya selalu terupdate,positif,bantu tambah wawas berita terupdate
good,positif,good
Kurangi porno nya,negatif,kurang porno nya
Ayo kembangkan lagi X biar banyak peminat ya,positif,ayo kembang x biar minat ya
"padahal dulu nih apk termasuk yang paling aku sering pake lho, tapi gegara apalah ini ganti admin (?) jadi malah kek... ah sudahlah. malesin, lemot, buat ngapa-ngapain serasa nggak nyaman.",negatif,nih apk pake lho gegara apa ganti admin kek ah malesin lot ngapangapain serasa nggak nyaman
"Bisa ngak itu iklan pinjol 360kredit di blokir? Capek tiap di branda muncul ,sudah di report masih aja muncul.. mana dia ngak bisa di blok... tolong lahhh... mereka nyapah sampah di branda saya...",negatif,ngak iklan pinjol kredit blokir capek branda muncul report aja muncul ngak blok tolong lahhh nyapah sampah branda
"sering ke refresh sendiri , buka chat gruf mental keluar lagi , mau buat tweet juga jadi lemot , mhon perbaiki lagi masalah nya , soalnya X ini mata pencarian seniman seperti saya 🙏",netral,refresh buka chat gruf mental tweet lot mhon baik nya x mata cari seniman 
👍Bagus,positif,bagus
Aplikasi yang ok dan bnyk pengetahuan,positif,aplikasi ok bnyk tahu
mantap,positif,mantap
Sianying ga bisa log in,negatif,sianying ga log in
Keren,positif,keren
gak bisa anjir,negatif,gak anjir
"banyak bokep, gua cuma pengen cari playboi carti, Roblox, hip-hop culture malah muncul bokep",negatif,bokep gua ken cari playboi carti roblox hiphop culture muncul bokep
"Akun saya di tangguhkan tidak pernah ada solusi, saya tidak melakukan hal hal yang melanggar, Twitter pindah ke X bnyak permasalahan",negatif,akun tangguh solusi langgar twitter pindah x bnyak masalah
Ok,positif,ok
Jelek,negatif,jelek
kalo d komunitas pas pencet tread orang pas kembali suka scrol ke atas awal lagi anjg cape gblg,negatif,kalo d komunitas pas pencet tread orang pas suka scrol anjg cape gblg
"gtw kenapa tiba-tiba akun ku di tangguhkan padhal ga pernh melanggar apapun dan jarang sekali aktif. saat di cek untuk ajukan banding malahan kata nya akun ku ga di tangguhkan , apa masalah teknis tolong bngt ini mah X , dan sampai sekrng ga ada respon dari X apaan bngt",negatif,gtw tibatiba akun ku tangguh padhal ga pernh langgar apa jarang aktif cek aju banding nya akun ku ga tangguh teknis tolong bngt mah x sekrng ga respon x bngt
bad app,negatif,bad app
sangat bagus,positif,bagus
oke,positif,oke
Jelek banget apus aja apk nya gaguna,negatif,jelek banget apus aja apk nya gaguna
Mantap,positif,mantap
"beritaya, terkini 👍👍👍😁",positif,beritaya kini 
akun saya di blok,positif,akun blok
Mantap 👍👍,positif,mantap 
Nice,positif,nice
Lumayan saje,positif,lumayan saje
"ko sering lelet yaa padahal sinyal bagus, jadi sering error",netral,ko lelet yaa sinyal bagus error
Apk tolol,negatif,apk tolol
mantap & bagus,positif,mantap bagus
Good,positif,good
Aplikasi nya sangat bagus,positif,aplikasi nya bagus
Mantab,positif,mantab
So far so good,negatif,so far so good
kesuspen mulu tytyd tytyd,negatif,kesuspen mulu tytyd tytyd
sehr gut,positif,sehr gut
good apk,positif,good apk
Kenapa skrng ngk bisa di buka aplikasi nya.,positif,skrng ngk buka aplikasi nya
"Tambah lemot,,banyak banget bug nya gimana sih...",negatif,lemotbanyak banget bug nya gimana sih
Ok,positif,ok
sangat menghibur,positif,hibur
gak bisa login parah ni,negatif,gak login parah ni
kenapa harus dimintai username saya tidak bisa masuk ke akunnya karena saya lupa usernamenya sangat mengecewakan,negatif,username masuk akun lupa usernamenya kecewa
BEST!,positif,best
Good,positif,good
"lemot sekarang, suka gabisa dibuka",negatif,lot suka gabisa buka
Slow respon,negatif,slow respon
"gue gak ngapa² in tiba² pas buka, akun gue kena banned, gak jelas banget nih apk",negatif,gue gak ngapa in tiba pas buka akun gue kena banned gak banget nih apk
masih lebih bagus waktu jadi Twitter daripada x udah login ribet lemot lg padahal jaringan udah 250mbps,negatif,bagus twitter x udah login ribet lot lg jaring udah mbps
benci aku sekarang hrs bolak balik login jujuk,negatif,benci hrs bolak login jujuk
"ga cocok di gua, bikin stress",negatif,ga cocok gua bikin stress
Lemottttt,negatif,lemottttt
apk stress gw mau login lewat gmail gk muncul kode verifikasiny,negatif,apk stress gw login gmail gk muncul kode verifikasiny
"ko makin lama makin jelek ya,ngelek lelet setiap mau masuk,tolong di perbaiki lagi.",netral,ko jelek yangelek lelet masuktolong baik
"Apaan tiba-tiba tangguhkan, lemot lg.",negatif,tibatiba tangguh lot lg
kadang suka sebel kalo update mulu,positif,kadang suka sebel kalo update mulu
Top,positif,top
semoga segera ada versi lite,positif,moga versi lite
semoga ada game,positif,moga game
elon awas aj klo gampang drop ye,negatif,elon awas aj klo gampang drop ye
suka banget,positif,suka banget
ko di aku masi gambar burung biru bukan X hitammmm,negatif,ko mas gambar burung biru x hitammmm
"Aplikasi gak bener, udah 5 akun lebih di tangguhkan terus, mau nya apasi? Gak jelas bgt sumpah, apk gak guna.",negatif,aplikasi gak bener udah akun tangguh nya apas gak bgt sumpah apk gak
suka aj cuma mau coba²,netral,suka aj coba
Apk sangat bagus dan gue suka banget sama apk ini,positif,apk bagus gue suka banget apk
Stability issue,netral,stability issue
lemot,negatif,lot
"so far so good, disisi lain juga masih baru di X jadi masih belum ngerti keselurahan dan lagi cari paham",positif,so far so good sisi x ngerti selurah cari paham
Topp,positif,topp
Mantap bro 👍👍😘,positif,mantap bro 
akun sering log out sendiri dan akun saya d tangguh kan,negatif,akun log out akun d tangguh
Manatpp,positif,manatpp
Buat nonton Bokep Lemot Bgt,negatif,nonton bokep lot bgt
Sering log out,negatif,log out
Good job Xi,positif,good job xi
tolong buat flim-flim yang tidak senonoh di hapus dari x atau di blokir.,negatif,tolong flimflim senonoh hapus x blokir
"Udh jarang nge lag,mungkin sudah di perbaiki terimakasih",positif,udh jarang nge lagmungkin baik terimakasih
Banyak informasi dan fanart yang sangat saya sukai,positif,informasi fanart suka
"Saya kasi Bintang tiga,saya Tamba bintang lg",positif,kasi bintang tigasaya tamba bintang lg
knp x nya tidak bisa di buka,negatif,knp x nya buka
ok,positif,ok
Nice,positif,nice
tiba tiba keluar akun sendiri,negatif,akun
Guddd🤗,positif,guddd
Suka,positif,suka
sangat buruk,negatif,buruk
