review,sentiment
"kenapa akun Twitter saya di tangguhkan?? padahal tidak pernah buat status atw pun yg melenceng, hny sekedar lihat doang malah di tangguhkan bener2 aneh Twitter skrg. ne dah 3x akun saya ditangguhkan dan dibanned",1
tidak bisa kirim foto sekali buka,2
"- *Masalah Login*: Saya tidak bisa login ke akun saya, dan saya telah mencoba semua cara untuk memecahkan masalah ini. - *Kurangnya Dukungan*: Tim dukungan aplikasi tidak membantu saya memecahkan masalah ini. - *Kinerja yang Buruk*: Aplikasi ini sangat lamb",1
"kecewa berat sama X kita mau login ngk bisa, selalu ada gangguan teknis.",1
Keren,5
"apa ini mau login aja gabisa, padahal baru instal lagi tapi pas mau login malah gabisa",1
tidak bisa melihat halaman yang di sukai di akun orang lain,1
"Isinya ujaran kebencian, banyak iklan sampah",1
ok,5
mantap,4
bayak informasi,5
"suka keluar sndiri, kalo di scroll kebawah mulai dari atas lgi, suka bngt nyuruh login ulang, ngeselin",1
😀,5
baik,5
ok,5
kemarin gue install ulang kok ngak bisa kebuka ada kesalahan,2
bagus,5
jadi jelek mau nyari aja loading terus,1
agak terlalu lama bila mencati apa yang ingin di lihat harus mengikuti dulu baru dapat mincul hal serupa di bagian untuk anda,3
aplikasi ribet kagak bisa login sampahhhh,1
saya sangat kecewa karena berkali kali akun saya di tangguhkan,1
memuaskan,4
setiap login selalu saja tidak bisa masuk hedeh tolong dong bugnya di perbaiki,2
sungguh mantap,5
tingkatkan terus,5
bagus,5
mantap dan lanjutkan,5
terbaik,5
enak buat nonton sebelum main 🤣,5
susah buat masuk gimana mau main aplikasi.yg ada emosi sinyal lancar jaya!!,1
Twitter sekarang sudah bagus akan tetapi biasanya agak lambat dalam aksesnya.. selain itu juga biasa yang saya cari terkadang belum saya dapatkan sehingga agak kurang puas dalam menggunakan Twitter ini.. semoga kedepannya bisa lebih baik lagi,5
apk tolol tolong perbaikin dong sampah,1
"saya bisa baca au, seru",5
"saya tidak akan kasih bintang 1, aplikasi nyaakin hari makin buruk sangat mengecewakan,",1
mantaff X tentang berita update,5
asik banget sihhh app ini,5
Bagus tapi sering kesuspend..hehe,1
"aku baru buat pakai email, trus login kan selesai. namanya baru buat belum ada yang diikuti baru juga follow 10 orang sama like beberapa postingan, lusa dapat notifikasi akun terkunci👍. 4 hari lagi pasti ditangguhkan. padahal cuma like dan markah beberapa postingan tidak sampai 10 perharinya👊",1
lemot,3
"kaga jelas anjir nih apk, tiba' bngt akun gwe di tangguhkan 🦍💨 #SHIBALLLL🔥🔥🔥🤙🏻",1
"Mantap ,,,, luar biasa,,,,best",5
"ga salah apa apa tiba tiba ""akun x ada di tangguhkan"" 😞😞🙄",3
baik dan bagus karena kita bisa tau video asli tanpa sensor walau ada beberapa di sensor jadi lebih tau info diteail nya sblm menyebarkan hoax,5
bagus,4
"kesel bgt lagi scroll² tiba tiba ke refresh, udah ngescroll jauh trs ulang dr awal lg apa ga kesel?? sekarang baru scroll 1 menitan tb² ke refresh, knp sih??padahal uda nemu postan yg bagus malah ke refresh. saya jadi ga nyaman make apk nya klo kyk gini, pdhl x gakaya gini sebelumnya tp knp jd error gini si?? tolong inii masalah nya di perbaiki yaa dvlp nyaa☹️",1
luar biasa,5
x bagus terkadang seru serunga nongton ada ngelegnga,4
mantab,5
good,5
ok,4
ok,5
error Mulu anjg,1
aplikasi gajelassssssssssssssss,1
ok saja,5
di update malah gak bisa di buka ada aplikasi kaya gtu 🤣🤣🤣,1
Faktual,5
"jelek sekarang, sering keluar tidak jelas, pas mau login server jelek... ini aplikasi jadi jelek... rusak bener ni aplikasi, tetap ga biaa masuk akun gw ... buat developer tolong perhatikan lagi bug bug yang mengganggu pengguna",5
enjoy,5
bermanfaat,5
Ya saya pakai aplikasi ini tapi sekarang tidak. Aplikasi bagus,5
mantap,5
mantap aplikasi nya,5
"Kepada Devoloper yang terhormat. Akun saya kenapa ditangguhkan? padahal saya tidak pernah memposting atau berkomentar buruk yang melanggar peraturan X, saat saya uninstall X untuk sementara waktu lalu saya mengunduhnya kembali, tiba-tiba akun saya ditangguhkan, padahal saya tidak berbuat apa-apa, mohon jangan tangguhkan akun saya🙏🏻",1
bagus bangat aplikasinya,5
apk terburuk dari semua apk terburuk yg pernah saya gunakan,1
ok,5
sangat memuaskan,5
"semuanya udh bagus, kecuali buat log in lewat google, kalau log in lewat google suka keluar sendiri, ini gk tau cuma saya atau beberapa orang lain juga mengalami, mohon di perbaiki ya dev x 👍🏻",5
gk tau gunanya apa tapi seru,5
Alhamdulillah BarokAlloh 99x,5
"awal awal aku masuk ke x ini bagus aja ga ada yg ngeload, tapi akhir akhir ini kenapa ngeloading? setiap aku mau ke akun aku,ngeliat akun yg aku folow, buka komentar, selalu nge loading lamaaaaaaaa bgtt padahal jaringan ku bagus pas di coba ke aplikasi lain ga ngeloading tuh",2
"sejauh ini fitur bagus, tingkatkan lagi fitur yg lebih menarik",5
top,5
makin kesini makin anaeh,1
sangat informatif,5
permisi ini napa apk belakangan sering error ya,2
agak lemot,4
bagus cuman kurang di pencarian aja,4
bagus,1
setelah berubah jadi X kenapa banyak masalah sih. login ke perangkat baru karena ganti hp malah kena penangguhan.. ini akun kedua coba login ulang ada dapet peringatan padahal masih satu perangkat. awas aja klo bermasalah terus saya kasih bintang 1. mo lapor CS bingung kemana lapornya. tolong perbaiki!!!,3
terlalu banyak iklan,3
Tolong dibantu,3
ga bisa login,1
"bagus sih aplikasi nya, cuman suka error gtu, kalo ada pesan masuk suka gak keliatan notif nya jadi kedepannya lebih di bagusin lagi biar gak suka error🤗🤗",5
ga bisa diinstal di hp android,1
saya sudah login eh malah akun ku terkunci aduhh gmn donggg,4
di update bukannya lbih baik mlh penurunan,1
ya baik,5
bagus,5
menarik dan bagus,5
di suruh ngisi verifikasi kode lah gk di kirimin nmrnya emng bisa ngisi,1
"knp yg disukai punya orang ga keliatan lagi sih, jadi males begini",1
"kenapa gak bisa login,parah ni",1
Xuper seruuu nya medsos Twitter.,5
"can you add a setting, only i can see the accounts i follow",3
ok,5
mantap,5
good🫶,5
pokok e apik,5
matap,5
aplikasi buruk,1
"Great App, GoodJob👍🏻",5
gud,5
tidak dapat memutar vidio,2
"banyak bug,apalagi kalo tentang konten yg di like apalagi sampe ribuan itu gk bisa di render lagi",1
mantap,5
"ini cuma gw atau yg lain juga yg ngalamin hahh?kok alamat akun gw sering keluar masuk keluar masuk dan harus vertifikiasi akun mulu? ini bukan cuma sekali!! tapi beberapa kali,ini udah bikin pengguna x risih dengan tindakan ini, coba dehh developer nya perbaiki lagi ni apk,sebenernya ni apk bagus tapi itu yg buat gw risih!! ""sekian terimakasih""... #anomali01",2
burik,1
mantap,5
👍,5
okey,5
kecewa karna kalo vidio yg udh disimpen suka ngilang dengan sendirinya😏😏,2
ga bisa login dari kemarin,1
login ribet banget sekarang...,1
saya sangat suka,5
konyol,5
Baguss,5
Kenapa aku cuman bisa mmasuk 1 atau 2 akun saja,5
tolong tambah kan fitur ganti akun x,3
Oke.. inspiratif,5
agak kecewa sama aplikasi ini padahal sinyal bagus tidak bisa login dan selalu kesalahan teknis,1
😄,5
susah buat login ulang😭,1
aneh tiba tiba akun gua ditangguhkan padahal pernah posting foto/video aja kaga pernah,1
"TOLONG X AKUN SAYA TERKUNCI,AKIBAT SAYA OTAK-ATIK USIA",3
sekarang lemot kalo buka apk X,1
sangat bagus,5
😁,5
"saya ingin ganti foto profil tapi selalu ngestuck sama yang lama, tidak bisa di ubah-ubah. sangat menganggu kenyamanan, mohon pihak X untuk lebih diperhatikan dan diperbaiki. terima kasih.",4
sekarang aplikasinya tambah gendeng...alias edan...lemot,2
terima kasih dengan kebijaksana'an nya,5
"gak seru masa aku udah coba berkali kali masukin nama pengguna email tapi gk bisa buat akun baru pun gak bisa gimana sih aku kasih bintang 1 dari 5 ,sebenarnya kalau bisa gak akan aku kasih bintang 1 🤮",1
bagus,5
moga aja bisa,4
"bagus banyak berita yang sedang trend, 📈😊",5
"apk bobrok,mau login aja d persulit",1
aplikasi cacat di update malah eror mulu,1
eror mulu aplikasi nya ngeselin paket ny bnyk sinyal bnyk muter2 doang,2
aplikasi gak jelas tiba2 akun ke kunci,1
bagus,5
TWITTER BOSOK..MAU MASUK SAIA SUSAHNYA KAYAK MAU CARI KERJA,2
"akun saya ilang... Followers liang semua,..😭😭😭😭😭😭",1
"buruk sekali,banyak iklan",1
lama banget nih aplikasi nya,1
kenapa tdk bisa login akun yaa??🤷🏻‍♀️,1
hilang lah semua progres,1
"Aplikasi sangat Baik, banyak Pengetahuan yang dibagikan di sini, terlebih ada Aplikasi AI (GrokAI) yang terintegrasi didalamnya sangat membantu dan bermanfaat sekali.",5
sangat bagus dan mudah sekali,4
anjay,5
senang,5
load nya lama sekarang.,2
mw log in susah dan terlalu ribet..,2
harus lebih extra konsisten dengan pengguna apl X,5
ok siipp,5
"kaga jelas cuma scroll doang akun gua di tangguhkan,komen kaga pernah debat ga pernah posting ga pernah",1
I love the old vers. Easy to use and have a useful features,5
oke...banyak bagus dan banyak Inspirasi...pokoknya mantablah👍🙂🙏,5
ngelag muluu njis,1
sucks,1
👍,1
SAYA DISUSPEND TANPA KESALAHAN ???? MAKSUDNYA GMN ?,1
Nice,5
Masa sering keuar sendiri giliran mau masuk lagi susah harus nunggu dan lama sampai sekarang d akun sendiri g bisa masuk twiter d bajak g bisa d ambil lagi lucu,1
lumayan,3
sesuai sangat bagus,5
aplikasi bagus buat cari temen,5
"jelek,akun baru sih ditangguhkan...",1
ok,5
apk busuk,1
aplikasinya bagus banget layak dikasih bintang seribu,5
"terlalu banyak acara ,ruwet yg akun salah ,pin salah padahal udah benar nih apl pusing ya saya kasih bintang 2 dulu kalau lancar tak tambain",2
TERLALU BANYAK IKLAN DALAM VIDEO,1
trus aja update giliran bikin akun selalu ditangguhkan kocak,1
sangat membantu,5
ini aplikasi yang eror ya,1
Nggak bisa play video kalau lagi call WA,1
"udah ga jelas bett tiba"" akun di tangguhkan, pdhl cmn scrol"" doang udh hbis brp akun nih",1
kurang netral,1
mantappp,5
"sangat bagus dengan ada grok 🫶, ini sangat membantu dalam semua hal",5
mantaaap bagus,5
"kok saya tidak bisa membuat akun baru? dan juga kenapa saya tidak bisa mengganti tanggal, bulan, dan tahun lahir saya, pas saya mau ngapus tanggal lahir juga tidak bisa. mohon diperbaiki",2
"Kenapa harus premium dulu baru bisa masukin teks yg panjang, banyak fitur yg gk kepakai juga. terus kenapa sekarang sering banget sih keluar sendiri akun nya 😠😠",2
"4 kali bikin akun di tangguhin mulu,padahal gak pernah ngelakuin pelanggaran,di twit cmn liat meme doang padahal,malah di tangguhin mulu, giliran mau bikin akun lagi susah nya minta ampun, gmna ini",2
bergaul dengan siapa saja,5
"Sistem keamanan baru jadi makin susah loginnya kalo lupa nama akun, hadeh",1
good app,4
Bagus,5
moga bisa membantu,5
Mantap Top,5
"banyak bgt bug dan gabisa ganti profil, padahal udah save tapi malah balik ke profil yg lama",2
ok,5
sangat berguna untuk mengetahui perkembangan dunia,5
"ada bug, bug nya pas lagi asik scroll tiba-tiba ke riset sendiri. tolong di perbaiki 😡 !!!",1
ok banget,5
good,5
Biasa buat hiburan,3
sebel sekarang x jadi sering eror,4
apk gj,1
ada video bkp nya jir,1
sering login ulang mohon diperbaiki,5
"keren banget, bintang 5. bisa buat memuaskan nafsu tenaga dalam, sehingga crot nya brutal dan ambatukam. Setelah itu sudah di akui para ilmuan ahli seperti, prof. azril, prof. rusdi, prof. rehan. inti dari ulasan ini adalah keren banget lah njir.",5
sangat membantu saya,5
GK bisa bikin akun,1
Mantap,5
lah orng lemot bgt gatau ya rewel begitu kga kaya twit dulu,1
"Tiba2 akun dibekukan, padahal udh ga dibuka selama 3 bulan.",1
lemot bgt skrg gatau kenapa malah memuat terus lamaaa pol jd males bukanya,2
buruk,1
"menurut aku ini memang ya loginn nya kek ""ada kesalahan memuat"" padahal jaringan nya baik kok sama mau login akunnya malah Ndak bisa",3
"sering ngelag kadang gabisa ngelike, kadang gabisa komen, gadang load nya lama padahal wifi nya lancar aja kalo di buka sosmed lain",3
kelock aja enggak bisa masuk sudah 2 hari nggk bisa,2
satu dulu klo bagus tmbah lgi bintang nya,1
like,5
update terus tapi gaada perubahan,2
"Jelek bangetttt. Dm suka crash sendiri, akun kadang kena blokir padahal yg ngeblokir gak ngapa²in, dm cepet hilang chatnya, timeline kerefresh sendiri. Ngeselin deh",2
"aplikasi X sering minta update, tapi hasilnya makin burik aja, notifikasi gak muncul, ngirim video selalu gagal. parah, cuma pinter nyedotin kuota doang.",1
semenjak jadi X aku sangat suka menggunakan media ini,5
good,4
"aplikasi gk jelas, akun di ban gegara di tag ama bot, udh hpus ban malah jadi kagak bisa bookmark lagi coba report ke cs ny percuma, lewat dm admin harus premium 🤮",1
"makin lama makin jelek aja nih aplikasi, suka tbtb ke logout sendiri. aneh, padahal lagi enak enak scroll tl.",1
"gwe yang cuma nggak login beberapa bulan dan nggak ngapa-ngapain malah ditangguhkan, gwe harus gimana?! nih akun user gwe....AkunCoc91419",1
sistem keamanannya terlalu berlebihan,1
sangat bagus info yg disampaikan,5
Good app.,5
mau login akun susah di bikin ribet,1
Sering error dan banyak masalah seperti tidak bisa refresh homepage nya mohon diperbaiki,1
ok sih,3
ok,5
ok,5
"jujur, sebenarny ini apk bagus, cmn kenapa stiap login sya kluar dri akun trs??, pdhal g pernah aneh"", kek, tlong lah jan kek gni, masa kluar dri akun trs, tlong dong ini apk diperbaiki, masa sya kluar trs dari akun stiap buka apk ini, tlonggg yaa di perbaiki lagi, sya suda capek,berkali""saya login ke akun saya, TOLONG YAA INI APK DI PERBAIKI, JUJUR SAYA SUDAH CAPEE LOGIN MLUU😔😞😪",2
gak ok,4
"menghibur, beradab dan berilmu.",5
bagus poll,5
tidak bisa login,1
bagus,5
suka eror,3
baik dan bagus,5
"lama bgt kocak nginstalnya, pdhl jaringan bagus #salambackburner🔥",3
sangat burukkkk krna sering pembaruan dan eror coba di perbaiki 🙏,1
"tambah parah sejak jadi X , lagi enak baca timeline sering ke scroll sendiri, aneh, dulu masih Twitter jarang sekali error sekarang makin payah, gak ada perbaikan sama sekali",1
bagus,5
good,4
nice,5
lumayan,5
top markotop,5
twitter sudah mulai jelek,1
"apk gak jelas tiba"" akun di tangguhkan padahal gak pernah posting yang aneh""",1
"Saya suka X sebagai tempat berbagi ide dan diskusi, tapi akhir-akhir ini banyak akun yang komentar asal-asalan kayak cuma ngejar engagement atau impresi. Mungkin tim X bisa pertimbangkan untuk fokus monetisasi ke konten video berdasarkan jumlah penonton aja, tanpa harus bikin orang tergoda spam di kolom komentar demi naikin views.",5
Tidak bisa di install,1
pekerja keras,1
good apk,5
"Makin kesini aplikasi ini makin buruk, susah dibuka,,",1
aplikasi lu jelek,1
"terkadang ketika sudah beberapa menit di dalam apk, pada saat refresh dilakukan berulang kali, gambar atau postingan yang muncul hanya itu itu saja terus menerus. yang baru hanya bertambah 2-5 postinga",4
aplikasi jelekk bgtt mau login trs pas masukin kode verifikasi udah bener dari email nya malah katanya salah² teruss udah sampe login 4x males udah,1
stlh update ni apk mlh tmbh rusak beranda ga mau restart konten terbaru hrs keluar dari apk dulu trs balik lagi pdhl dulu sblm di update g ky gini trs 1 bln terakhir ini sering lag dan ga bisa nerjemahin postingan yg sdg kita lihat tlg mslh sprti ini segera diperbaiki buat ga nyaman menggunakan aplikasi soalnya 🙏,2
lemot banget woy mau search aja kaga bisa loading mulu..,1
bagus,5
kenapa akun saya di tangguhkan....padahal saya tidak melakukan kekerasan dan mengejar kebencian,1
"laggyy, gross apk 🤮🤮",1
bagus,5
kenapa banyak konten yg dihapus,1
"hahahah, hayooo siapa yang nonton pekop di sini 😂😁",5
Sering buffering pdhl kuota normal,1
bagus aja gitu,5
suka,5
top,5
"Terlalu ketat, Dikit dikit ke suspend hadehhhh",1
"saya gak habis pikir,akun di tangguhkan.seingat saya,,, bahwa saya tidak pernah melanggar apapun... agak kecewa saja.. karena ada pembatasan.",5
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5
bagussss untuk tempat curhat,5
lumayan,5
bagus,5
Kalau login ke akun susah kenapa ya,2
3 kali akun gue di tangguhkan..,1
Alhamdulillah Selalu semangat bg ❤️👍,5
Kurang Bagus,4
semangat untuk loading trus,4
memberi inspirasi dan menambah edukasi,5
grok nya gitch tolong perbaikinya,1
sejujurnya udah bagus cuma kenapa suruh login lagi padahal udah jadi gak bisa masuk lagi,4
"Tolong dong x ini knp ya first acc suka tbtb ke log out sendiri, sekarang udh di login-in lagi malah tulisan di timeline nya 'ada kesalahan teknis, ini bukan kesalahan anda' klik pusat bantuan juga keluarnya tulisan 'error code'",1
ketika saya memakai aplikasi ini saya ingin mencari akun teman saya tapi kenapa akun saya di band,2
sangat buruk,1
"jelek banget, gak bisa daftar l",1
menarik,5
good ye,5
aplikasi tdk guna sush,1
mantap,5
bagus bnyak bahan video yg mantao mantao🤤🤤,5
sering error loogout sendiri,5
bagus..terus di kembangkan,5
smart app,5
oke,4
Semangat,5
Bagus jugaa,5
bagus,5
Kok akun x saya ga bisa di login,5
"aplikasi makin payah, terlalu sensitif semenjak di pegang babang melon",1
"tinggal masuk aja di persulit ini orang apa bukan ,pastinya orang masa siluman maini internet",1
Sangat membantu sekali,5
perbaikan koneksi nya npa,1
"Jangan di download aplikasi ini. Gabisa login terus, selalu muter"" kyk ga ada jaringan padahal kenceng bgt, refresh pun ga bisa, aplikasi sampah, gajelas lu Elon Musk, bukannya makin gacor malah gabisa di buka ni aplikasi",1
Tolong pulihkan akun saya,5
"Aplikasi sejak dipegang jadi busuk. Udahlah berbayar semua, sering saspen akun orqng yang diem aja.",1
saya suka,1
mantap,5
okay,5
Ya bagus,5
Sangat bagus,5
sangat baikk,5
ok,5
"gak ngapa""in tiba"" di suspend",1
👌👌👌👌👍👍👍👍✌️✌️✌️🙏🏻🙏🏻🙏🏻🙏🏻🤗,5
apk mantap👍👍,5
"Isinya orang orang kayak gak punya sopan santun ketikannya sungguh luar biasa tidak terkendali coba lah ditingkatkan atau buat aturan pelanggaran ketikan, penghuni x yg parah gak mungkin kan orang tua semua yg pkae aplikasi x ini pasti ada banyak kalangan",1
Good,5
tolong kurangin iklan,4
Fix auto refresh!,1
good pp,5
masa akun di tangguhkn trus mengajukan banding g ada respon bisa bantu ga dev,3
ok,3
menginstal nya lama baget,1
aplikasi yg bagus,5
"Udh pake aplikasi ini dari jaman covid 2020,aman aja, cuma skrg² koq klo buka video ada tulisan (AdBlock detected) DST, itu knp ya, ada yang sama?",2
sekarang lemot bangat,1
"tolong di perbarui lagi aplikasinya,saat saya ingin login ke akun saya,masa ada nomor nomor gak jelas,tolong di perbarui",1
Aplikasi X makin jelek,1
baguss,3
Kece,5
Sya sangat suka,5
Ini aplikasi lama2 aneh. Masa setiap follow orang malah log out sendiri??? Padahal sudah buat akun sudah instal ulang tetap aja penyakitnya gitu!,1
Tak bisa login lagi,1
oke,5
TOLOL TIBA² KELUAR SENDIRI AKUN,1
Terimakasih 🤝,5
oke,5
Menarik,5
mantap banget,5
Ok mantap,5
Apk non sensor mantap,5
hp nya yg kentang tapi aplikasi yang disalahkan ✋😂🤚,4
"Sering eror,,,tolong di perbaiki",5
"makin kesini semakin jelek, beda jauh pas masih pake nama twitter",1
mantap bisa menghibur diri,5
kenapa ini sering ditangguhkan,1
percuma donlod juga gabisa bimin akun aplikasi payah,1
"udah lama ga buka X eh akun tiba tiba logout sendiri, pas coba login ulang malah bolak balik ke bagian login terus padahal udah bener semua",1
Mantap,5
mantap,5
jelek,1
This app is very slow and can suddenly log out accounts on its own,1
Jelek leg semua,1
"bagus dengan alur cerita yg fleksible,klo perlu yg TERBARU/TERUPDATE min🙏🙏🙏",5
bgus,5
"SEMENJAK BERUBAH JADI X INI APLIKASI RESE BANGET, DIKIT2 KELUAR, DIKIT2 KENA TANGGUH.",1
"disuruh ulang login terus, disuruh verifikasi doang, berulang kali udh verifikasi, masa pas enak'nya scroll tiba' disuruh login sm verifikasi padahal ga komen aneh'. ini bug apa gimana cape bolak balik",3
saya terkanena adbeck,3
Good lah,5
aplikasi nya bagus banget buat liat gosip Konoha😍😍😍🥰,5
"Apk mantap ,,,the best",5
aplikasi ini sangat memuaskan,3
Sering error Sudah mulai membaik tambah 1 bintang,4
Bagus sekaliiuuuuuuuuuuusuuuu,5
Freedom of speech 😁😁,5
hadehh makin jelekkk,1
susah daftar udah daftar malah balik lagi ke tempat daftar nya,1
Bagus,5
Ok,5
Ok,5
tiba tiba di tangguhkan padahal cman like doang...anehh,1
"Akun sering log out sendiri tiba tiba, dan saat mau log in kembali tidak bisa karena terjadi kendala yang tidak jelas",1
"i hope X (Twitter) Will be better again and please don't be so sensitive, I think these day many of ACC has been suspend. hope my account don't",5
Membosankan,5
"kenapa tiba-tiba ga bisa unduh foto? padahal wifi lancar aja loh, udah coba keluar aplikasi terus masuk lagi tapi tetep aja ga bisa diunduh fotonya!😭",1
The best,5
rawan,1
bagus banget,5
Kualitas video nya buram banget,3
Good,5
Mantap,5
Bagus. untuk pengaruh baik dari Allah yang Maha Pengasih dan Penyayang.,5
bagus banget,5
